id_track,id_marine,lat,lon,speed,course,age,date_add
1450421,28,43.0623,131.887,0,21,3,2/23/2016 0:00
1450422,30,43.0626,131.888,0,0,3,2/23/2016 0:00
1450423,116,43.082,131.891,0,86,3,2/23/2016 0:00
1450424,148,43.0855,131.888,1,129,56,2/23/2016 0:00
1450425,33,43.0859,131.889,0,236,4,2/23/2016 0:00
1450426,42,43.0905,131.892,1,41,2,2/23/2016 0:00
1450427,35,43.0906,131.892,0,198,3,2/23/2016 0:00
1450428,41,43.0911,131.893,1,239,4,2/23/2016 0:00
1450429,40,43.0911,131.893,0,320,5,2/23/2016 0:00
1450430,13,43.1037,131.887,0,159,4,2/23/2016 0:00
1450431,45,43.1044,131.889,0,59,3,2/23/2016 0:00
1450432,47,43.1057,131.891,0,0,5,2/23/2016 0:00
1450433,46,43.1058,131.892,0,64,2,2/23/2016 0:00
1450434,108,43.1061,131.893,0,0,5,2/23/2016 0:00
1450435,140,43.0647,131.903,57,123,2,2/23/2016 0:00
1450436,50,43.091,131.895,0,104,3,2/23/2016 0:00
